B. cinerea
Bcin01p00930
Bcin01p01250
Bcin01p01330
Bcin01p03330
Bcin01p03760
Bcin01p03900
Bcin01p03910
Bcin01p04820
Bcin01p05180
Bcin01p07900
Bcin01p10630
Bcin02p00580
Bcin02p00800
Bcin02p00860
Bcin02p01230
Bcin02p02340
Bcin02p02480
Bcin02p04040
Bcin02p04050
Bcin02p05060
Bcin02p05790
Bcin02p07070
Bcin02p07970
Bcin03p03180
Bcin03p03670
Bcin03p08230
Bcin04p00360
Bcin04p00470
Bcin04p01220
Bcin04p02480
Bcin04p02570
Bcin04p03920
Bcin04p06980
Bcin05p01460
Bcin05p02690
Bcin05p03680
Bcin05p04800
Bcin05p04860
Bcin06p00180
Bcin06p00190
Bcin06p00450
Bcin06p00500
Bcin06p00510
Bcin06p00520
Bcin06p00930
Bcin06p01720
Bcin06p01810
Bcin06p02690
Bcin06p02910
Bcin06p03270
Bcin06p03840
Bcin06p05090
Bcin06p05540
Bcin06p05980
Bcin06p06720
Bcin06p06940
Bcin07p02030
Bcin07p02190
Bcin07p03120
Bcin07p03750
Bcin07p05740
Bcin07p05850
Bcin08p00020
Bcin08p00040
Bcin08p00400
Bcin08p00940
Bcin08p00990
Bcin08p03940
Bcin08p06900
Bcin09p01710
Bcin09p06020
Bcin09p06810
Bcin09p06920
Bcin09p07100
Bcin10p02230
Bcin10p02890
Bcin10p04560
Bcin11p01450
Bcin11p03340
Bcin11p04430
Bcin11p04610
Bcin11p04910
Bcin12g06700
Bcin12p01600
Bcin12p02270
Bcin12p06040
Bcin12p06110
Bcin12p06760
Bcin13p00040
Bcin13p01780
Bcin13p02210
Bcin13p02710
Bcin13p03550
Bcin13p05690
Bcin13p05700
Bcin14p00390
Bcin14p00570
Bcin14p00670
Bcin14p01600
Bcin14p03140
Bcin14p04030
Bcin15p02390
Bcin15p03470
Bcin15p04100
Bcin15p04770
Bcin15p04850
Bcin15p04860
Bcin15p04870
Bcin15p04880
Bcin15p04930
Bcin15p05220
Bcin16p00170
Bcin16p00400
Bcin16p00510
Bcin16p00790
Bcin16p01700
Bcin16p02400
Bcin16p03050
