study,Total,Any_EAR,LXLXL,LDL,DLNXXP,LXLXLX,LDLXL,Percent_EAR
Valero-Jimenez_2019,119,22,12,8,2,12,0,18.5
Zhang_2024,850,194,135,86,3,135,5,22.8
