"","Enrichment.FDR","nGenes","Pathway.Genes","Fold.Enrichment","Pathway","URL","Genes","cluster"
"87",3.81119910848659e-06,32,262,3.11016990888944,"GO:0009734 Auxin-activated signaling pathway ","https://amigo.geneontology.org/amigo/term/GO:0009734"," PIN1  AT3G22810  PIN5  AT5G43870  TIR1  AT2G44830  SHY2  IAA5  AT1G29430  AT1G29450  AT1G29500  AT1G54200  LAX2  AUX1  MAX2  IAA20  SAUR29  IAA7  ARF18  IAA30  IAA1  IAA11  AT4G34760  SAUR15  SAUR20  SAUR24  ARF8  ATAUX2-11  ARF4  BRL2  HLS1  NDPK2","6"
"88",1.36369268936942e-05,32,279,2.92066134813273,"GO:0071365 Cellular response to auxin stimulus ","https://amigo.geneontology.org/amigo/term/GO:0071365"," PIN1  AT3G22810  PIN5  AT5G43870  TIR1  AT2G44830  SHY2  IAA5  AT1G29430  AT1G29450  AT1G29500  AT1G54200  LAX2  AUX1  MAX2  IAA20  SAUR29  IAA7  ARF18  IAA30  IAA1  IAA11  AT4G34760  SAUR15  SAUR20  SAUR24  ARF8  ATAUX2-11  ARF4  BRL2  HLS1  NDPK2","6"
"89",0.000222642144795275,27,245,2.80629361421988,"GO:0009658 Chloroplast organization ","https://amigo.geneontology.org/amigo/term/GO:0009658"," PMI2  AT2G40480  AT4G18570  PMI1  EMB3123  KEA3  RABE1b  STY17  AT1G44000  SCO1  AT1G64500  JAC1  AT2G26840  MIZ1  DEG2  SCO3  ARC5  CRD1  AT4G34090  AT5G13770  CLPB3  AT5G42310  GLK2  CDF1  AT5G67385  CSP41A  PHOT2","6"
"90",4.22024803586668e-08,52,493,2.68591245174377,"GO:0006091 Generation of precursor metabolites and energy ","https://amigo.geneontology.org/amigo/term/GO:0006091"," PSB27  PnsL2  LHCA3  LQY1  AT1G76570  PQL3  LHCB2.2  LHCB2.1  HXK2  FBA1  PSBW  ETFQO  LHCB4.2  PGL2  LHCA1  LHCA2  LHCB5  PGR5-LIKE A  FBA2  LHCB4.1  G6PD1  PSAO  DEG2  PSBO1  DBE1  PnsB1  AT1G22170  AT1G72230  AT2G42750  PPC3  PSBO2  ENODL19  NdhS  APL3  SBE2.2  PMDH2  PSBR  PnsB2  PSBY  FAD5  PPD1  DEG5  NFU3  STN8  OHP  AT5G08720  PAA2  FRO7  SEP2  PSBP-1  NdhL  DGD1","6"
"91",0.000216105443350737,32,319,2.55443421984023,"GO:0009657 Plastid organization ","https://amigo.geneontology.org/amigo/term/GO:0009657"," PMI2  AT2G40480  AT4G18570  PMI1  EMB3123  KEA3  RABE1b  STY17  AT1G31410  AT1G44000  NPQ4  SCO1  AT1G64500  JAC1  AT2G26840  MIZ1  DEG2  HCF107  SCO3  ARC5  CRD1  CSP41A  AT4G34090  AT5G13770  CLPB3  HCF136  AT5G42310  GLK2  RPL24  CDF1  AT5G67385  PHOT2","6"
"92",5.03028435042334e-11,77,772,2.53985458799933,"GO:0009416 Response to light stimulus ","https://amigo.geneontology.org/amigo/term/GO:0009416"," STO  LHCA3  AT1G76570  LHCB2.2  LHCB2.1  BBX18  AFR  STH  LHCB4.2  LHCA1  LHCA2  LHCB5  LHCB4.1  FLS1  DDB2  PIL5  ATH1  MYB29  TZP  PKS2  AT1G18810  SPA4  SEP2  SPA3  AT3G52740  CaS  PHOT2  ACR11  AT1G51400  AT1G66180  HPR  XTH4  KCS11  CYP707A2  RCA  AT2G42690  ETFQO  HCF107  GAPA  GATA7  AT4G38860  OHP  SBE2.2  AT5G47390  MYB111  FRO6  ABA1  CCA1  TRXF2  PSB27  ERD9  KDR  PMI1  NPQ4  FBH3  PMI2  PSBY  JAC1  MAX2  AT2G44830  PRR9  IAA20  AT3G09190  RVE8  FAD5  WNK2  AT3G44610  PSBO2  KEA3  KAI2  HLS1  HB16  SGS3  NF-YB2  NDPK2  PSBO1  PIN1","6"
"93",1.71725941460561e-10,77,795,2.46637451815784,"GO:0009314 Response to radiation ","https://amigo.geneontology.org/amigo/term/GO:0009314"," STO  LHCA3  AT1G76570  LHCB2.2  LHCB2.1  BBX18  AFR  STH  LHCB4.2  LHCA1  LHCA2  LHCB5  LHCB4.1  FLS1  DDB2  PIL5  ATH1  MYB29  TZP  PKS2  AT1G18810  SPA4  SEP2  SPA3  AT3G52740  CaS  PHOT2  ACR11  AT1G51400  AT1G66180  HPR  XTH4  KCS11  CYP707A2  RCA  AT2G42690  ETFQO  HCF107  GAPA  GATA7  AT4G38860  OHP  SBE2.2  AT5G47390  MYB111  FRO6  ABA1  CCA1  TRXF2  PSB27  ERD9  KDR  PMI1  NPQ4  FBH3  PMI2  PSBY  JAC1  MAX2  AT2G44830  PRR9  IAA20  AT3G09190  RVE8  FAD5  WNK2  AT3G44610  PSBO2  KEA3  KAI2  HLS1  HB16  SGS3  NF-YB2  NDPK2  PSBO1  PIN1","6"
"94",0.000238532958985302,40,453,2.24852239549954,"GO:0009733 Response to auxin ","https://amigo.geneontology.org/amigo/term/GO:0009733"," PIN1  AT3G22810  PIN5  AT5G43870  AT5G47390  TIR1  AT2G44830  SHY2  IAA5  AT1G29430  AT1G29450  AT1G29500  AT1G54200  LAX2  AT2G21210  AUX1  MAX2  IAA20  SAUR29  IAA7  ARF18  IAA30  IAA1  IAA11  AT4G34760  AT4G38840  SAUR15  AT4G38860  SAUR20  SAUR24  ARF8  ATAUX2-11  ARF4  XTH4  AIR9  FLS1  RGF9  BRL2  HLS1  NDPK2","6"
"95",6.05475635656405e-05,59,746,2.01394966704143,"GO:0044283 Small molecule biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0044283"," AT1G19140  AK-HSDH I  FBP  GSR2  AT1G72810  SPS1  AT2G02765  AGT  APG10  BIO2  AK3  MS2  LYC  AT4G02610  PAS2  AT5G10920  AT5G15070  MAM1  DES1  LUT2  BIO1  RIBA3  ASN2  LIL3:1  CER2  LIL3:2  PLR1  PKT4  MIOX1  AT1G22170  BDG1  AT1G74470  APT2  MOD1  ATSERAT3;1  AT2G22230  KCS11  KAO2  P5CS1  SSI2  VTC4  APK3  FAD5  FaTA  AAO2  BCAT3  MES10  P5CS2  AT4G30000  SERAT3;2  ABA1  PIL5  DGD1  AT3G56130  FADA  ATH1  HB25  FBA1  FBA2","6"
"96",0.000386216863809584,76,1136,1.70361199454793,"GO:0006082 Organic acid metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006082"," PKT4  GLX1  AT1G11860  CYP79F1  AK-HSDH I  GSR2  AT1G72810  AT2G02765  AGT  HXK2  FBA1  GDCH  APG10  BIO2  SSI2  AK3  MS2  AT3G05190  MES10  AT4G02610  HCD1  AT4G25600  FBA2  PAS2  AT5G10920  MAM1  DES1  AACT1  BIO1  ASN2  ESP  SOT18  CYP83A1  CER2  MIOX1  AT1G22170  LACS2  BDG1  AT1G68570  MOD1  ATSERAT3;1  AT2G22230  KCS11  CYP707A2  KAO2  P5CS1  APK3  FAD5  FaTA  AAO2  BCAT3  P5CS2  FADA  AT4G30000  SERAT3;2  PMDH2  ABA1  ATSDI1  FMO GS-OX3  FMO GS-OX1  ZFP4  AT1G76880  PIL5  ETFQO  VTC4  DGD1  ABF4  AT3G48460  AT3G56130  BAT5  ATH1  MYB29  MYB76  MYB28  HB25  HPL1","6"
"97",0.00014026335374785,130,2169,1.52622733830069,"GO:0009628 Response to abiotic stimulus ","https://amigo.geneontology.org/amigo/term/GO:0009628"," AT1G66180  AT3G22550  MES10  SPX1  STO  LHCA3  AT1G76570  LHCB2.2  LHCB2.1  BBX18  AFR  STH  PIP1B  RGL2  LHCB4.2  LHCA1  PIP1A  LHCA2  LHCB5  AT4G21870  PIP1;5  KAI2  LHCB4.1  FLS1  MSL10  CLPB3  DDB2  NDL3  PIL5  NF-YB3  ATH1  MYB29  TZP  PKS2  AT1G18810  SPA4  SEP2  SPA3  ASPG1  AT3G52740  SPX4  CaS  PHOT2  ANNAT2  BT3  CYP71B2  ACR11  PRK  AT1G51400  GolS2  BDG1  HPR  XTH4  KCS11  CYP707A2  RCA  P5CS1  AT2G42690  ETFQO  SAUR29  HCF107  ABF4  GAPA  PIP2A  AGL24  ABF3  GATA7  AT4G38840  AT4G38860  OHP  SBE2.2  2-Cys Prx B  MYB76  TUB6  MAM1  SGS3  HK2  AT5G47390  NF-YB2  MYB111  FRO6  ABA1  SNRK2-8  MAX2  CCA1  TRXF2  PSB27  ERD9  QSOX1  KDR  PMI1  NPQ4  FBH3  PMI2  PSBY  PIN1  JAC1  TAPX  PQL3  AUX1  CYSA  AT2G44830  PRR9  IAA20  VTC4  AT3G09190  RVE8  DGD1  FAD5  WNK2  IAA7  AT3G44610  PSBO2  AT3G61950  IAA30  CBL5  KEA3  EARLI1  CBL10  MCA1  HLS1  PLAT1  HB16  SVR3  FTSH11  NDPK2  RGF9  ASN2  WAVH2  PSBO1","6"
