"","cl"
"AT2G29120",3
"AT2G29165",2
"AT2G29170",2
"AT2G29400",2
"AT2G29440",1
"AT2G29450",1
"AT2G29480-AT2G29490",1
"AT2G29940",2
"AT2G30250",2
"AT2G30250-AT2G30260",2
"AT2G30360",2
"AT2G30362",2
"AT2G30440",2
"AT2G30640",2
"AT2G31570",2
"AT2G31990",2
"AT2G32190",2
"AT2G32200",2
"AT2G32210",2
"AT2G33110",2
"AT2G33120",2
"AT2G33840-AT2G33845",1
"AT2G34360",2
"AT2G34580",2
"AT2G34600",2
"AT2G34810",1
"AT2G34940",2
"AT2G35000",2
"AT2G35710",2
"AT2G36380",2
"AT2G36440",2
"AT2G36470",1
"AT2G36630",3
"AT2G37540",1
"AT2G37710",2
"AT2G37970",3
"AT2G38240",2
"AT2G38360",2
"AT2G38380",5
"AT2G38490",2
"AT2G38610",2
"AT2G38760",3
"AT2G38790",2
"AT2G38870",2
"AT2G38960",2
"AT2G39400",2
"AT2G39420",2
"AT2G39518",2
"AT2G39710",2
"AT2G40000",2
"AT2G40180",2
"AT2G40750",2
"AT2G41410",2
"AT2G42650",2
"AT2G42990",2
"AT2G43160",2
"AT2G44010",2
"AT2G44280",2
"AT2G44290",2
"AT2G44490",2
"AT2G44500",2
"AT2G44600",1
"AT2G44840",3
"AT2G45580",2
"AT2G46400",2
"AT2G46430",2
"AT2G46440",2
"AT2G46500",2
"AT2G46750",2
"AT2G47130",2
"AT2G47140",2
"AT2G47190",2
"AT2G47550",2
"AT2G47730",2
"AT3G00400",2
"AT3G00740",1
"AT3G00850",2
"AT3G01080",2
"AT3G01720",2
"AT3G01990",2
"AT3G02070",2
"AT3G02150",2
"AT3G02230",2
"AT3G02360",2
"AT3G02520",2
"AT3G02880",2
"AT3G02945-AT3G14460",2
"AT3G03610",2
"AT3G03670",2
"AT3G04200",2
"AT3G04580",2
"AT3G04630",2
"AT3G05370",2
"AT3G05580",2
"AT3G05710",2
"AT3G05830",2
"AT3G06500",2
"AT3G06890",2
"AT3G07090",3
"AT3G07255",2
"AT3G07580",2
"AT3G08710",2
"AT3G08970",2
"AT3G09020",2
"AT3G09350",2
"AT3G09490",2
"AT3G09520",2
"AT3G09570",2
"AT3G09810",2
"AT3G09960",2
"AT3G10930",2
"AT3G11010",2
"AT3G11040",2
"AT3G11080",2
"AT3G11150",2
"AT3G11170",3
"AT3G11402",2
"AT3G11480",2
"AT3G11570",2
"AT3G13050",2
"AT3G13276-AT3G13277",2
"AT3G13600",1
"AT3G13850",2
"AT3G13910",2
"AT3G13965",2
"AT3G14200",2
"AT3G14630",2
"AT3G14770",1
"AT3G14840",2
"AT3G15060",2
"AT3G15990",2
"AT3G16030",2
"AT3G16150",2
"AT3G16565",1
"AT3G17240",2
"AT3G17410",2
"AT3G17609",3
"AT3G17700",2
"AT3G18690",2
"AT3G18710",2
"AT3G18930",1
"AT3G19660",2
"AT3G20600",2
"AT3G21070",2
"AT3G21230",2
"AT3G21630",2
"AT3G21780",2
"AT3G22231",2
"AT3G22235",2
"AT3G22240",2
"AT3G22260",2
"AT3G22370",2
"AT3G23010",2
"AT3G23120",2
"AT3G23170",2
"AT3G23440",3
"AT3G23560",2
"AT3G24090",2
"AT3G24530",2
"AT3G24550",2
"AT3G24982",2
"AT3G25070",2
"AT3G25240",2
"AT3G25600",2
"AT3G25880-AT3G25882",2
"AT3G26020",2
"AT3G26090",2
"AT3G26210",2
"AT3G27330",2
"AT3G28180",2
"AT3G28450",2
"AT3G28940",2
"AT3G29000",2
"AT3G29250",2
"AT3G30120",2
"AT3G44110",2
"AT3G44260",2
"AT3G44326",2
"AT3G44400",2
"AT3G44860",3
"AT3G45040",2
"AT3G45640",2
"AT3G46080",1
"AT3G46620",2
"AT3G46700",2
"AT3G47040",2
"AT3G47550",1
"AT3G47780",2
"AT3G47800",1
"AT3G48090",2
"AT3G48780",2
"AT3G49120",2
"AT3G49530",2
"AT3G50060",3
"AT3G50280",2
"AT3G50470",2
"AT3G50910",2
"AT3G50950",2
"AT3G51330",2
"AT3G51440",2
"AT3G51790",2
"AT3G51890",2
"AT3G53720",2
"AT3G54100",2
"AT3G54130",2
"AT3G54810",2
"AT3G55450",1
"AT3G56400",2
"AT3G56710",2
"AT3G56880",1
"AT3G57240",2
"AT3G57280",2
"AT3G57380",2
"AT3G57480",2
"AT3G57530",2
"AT3G57630",3
"AT3G57640",2
"AT3G57700",2
"AT3G57730",2
"AT3G57750",2
"AT3G58490",2
"AT3G59350",1
"AT3G60110",2
"AT3G60415",2
"AT3G61280",2
"AT3G62600",2
"AT3G62690",1
"AT3G62720",2
"AT3G62780",2
"AT3G63310",2
"AT4G00300",2
"AT4G00500",2
"AT4G00955",2
"AT4G01250",2
"AT4G01360",2
"AT4G01700",2
"AT4G01950",1
"AT4G02200",2
"AT4G02380-AT4G04125",2
"AT4G02410",2
"AT4G02420",3
"AT4G02550",1
"AT4G03085-AT4G07200-AT4G07205-AT4G24015",2
"AT4G03320",2
"AT4G04510",2
"AT4G04695",2
"AT4G04800",2
"AT4G06746",2
"AT4G08180",2
"AT4G08230",2
"AT4G08470",2
"AT4G08555",2
"AT4G08850",2
"AT4G09570",2
"AT4G09590",2
"AT4G10040",2
"AT4G10390",1
"AT4G10500",2
"AT4G10960",2
"AT4G10970",2
"AT4G11000",2
"AT4G11300",2
"AT4G11360",1
"AT4G11470",2
"AT4G11500",1
"AT4G11840",2
"AT4G12040",2
"AT4G12250",2
"AT4G12720",2
"AT4G13040",2
"AT4G13180",2
"AT4G14220",2
"AT4G14610",2
"AT4G14640",1
"AT4G14680",2
"AT4G15130",1
"AT4G15233",2
"AT4G15260",2
"AT4G15417",2
"AT4G16146",5
"AT4G16500",1
"AT4G16670",2
"AT4G16730",3
"AT4G16740",5
"AT4G17160",3
"AT4G17230",2
"AT4G17486",2
"AT4G17490",2
"AT4G17900",2
"AT4G18195",2
"AT4G18197",2
"AT4G18205",2
"AT4G18290",2
"AT4G18630",2
"AT4G18880",2
"AT4G19810",2
"AT4G20050",1
"AT4G21120",2
"AT4G21380",2
"AT4G21400",2
"AT4G21534",2
"AT4G21680",2
"AT4G21740",3
"AT4G21920",1
"AT4G22305",2
"AT4G22690",2
"AT4G22780",2
"AT4G23010",2
"AT4G23140",2
"AT4G23170",2
"AT4G23180",2
"AT4G23220",2
"AT4G23230",2
"AT4G23270",2
"AT4G23280",2
"AT4G23320",2
"AT4G23470",2
"AT4G23570",2
"AT4G23610",2
"AT4G23730",2
"AT4G23885",2
"AT4G24000",2
"AT4G24160",2
"AT4G24380",2
"AT4G24970",2
"AT4G25110",2
"AT4G25225",1
"AT4G25380",2
"AT4G25670",2
"AT4G25710",2
"AT4G25710-AT4G25720",2
"AT4G25940",2
"AT4G26060",2
"AT4G26070",2
"AT4G26090",2
"AT4G26690",2
"AT4G27260",1
"AT4G27280",2
"AT4G28140",1
"AT4G28350",2
"AT4G28390",1
"AT4G28703",2
"AT4G29050",2
"AT4G29340",2
"AT4G29740",2
"AT4G29780",2
"AT4G29810",2
"AT4G29850-AT4G29860",2
"AT4G30060",2
"AT4G30210",2
"AT4G30280",2
"AT4G30340",2
"AT4G30350",1
"AT4G30530",1
"AT4G31550",2
"AT4G31800",2
"AT4G33420",2
"AT4G33540",2
"AT4G33770",2
"AT4G34150",2
"AT4G34180",2
"AT4G34230",1
"AT4G34250",4
"AT4G34380",2
"AT4G34710",2
"AT4G35310",2
"AT4G35480",1
"AT4G35600",2
"AT4G36020",2
"AT4G36030",2
"AT4G36090",2
"AT4G36150",2
"AT4G36480",2
"AT4G36550",2
"AT4G37010",2
"AT4G37260",1
"AT4G37430",2
"AT4G38550",2
"AT4G38560",2
"AT4G38940",2
"AT4G39390",2
"AT4G39580",2
"AT4G39820",2
"AT4G39890",2
"AT4G40080",2
"AT5G00550-AT5G05785",2
"AT5G01340",2
"AT5G01380",2
"AT5G01540",2
"AT5G01550",2
"AT5G01950",2
"AT5G02100",1
"AT5G02320",3
"AT5G03320",2
"AT5G03475-AT5G22770",2
"AT5G03490",3
"AT5G03990",2
"AT5G04170",1
"AT5G04340",2
"AT5G04720",2
"AT5G05140",2
"AT5G05190",2
"AT5G05320",2
"AT5G05370",2
"AT5G05460",2
"AT5G05850",2
"AT5G06320",2
"AT5G06860",2
"AT5G07440",2
"AT5G07760",2
"AT5G08300",2
"AT5G08760",2
"AT5G08920",2
"AT5G09470",2
"AT5G09680",2
"AT5G10695",2
"AT5G11000",2
"AT5G11140",2
"AT5G11290",1
"AT5G11650",3
"AT5G11970",2
"AT5G12020",2
"AT5G12300",2
"AT5G12480",2
"AT5G12880",2
"AT5G12940",2
"AT5G13110",2
"AT5G13200",2
"AT5G13500",2
"AT5G14120",2
"AT5G14700",2
"AT5G14760",2
"AT5G15730",2
"AT5G15870",2
"AT5G16080",2
"AT5G16480",2
"AT5G17060",2
"AT5G17280",2
"AT5G17350",2
"AT5G19080",2
"AT5G19240",3
"AT5G19250",2
"AT5G19260",2
"AT5G19980",2
"AT5G20000",2
"AT5G20480",2
"AT5G21940",1
"AT5G22350",2
"AT5G22380",2
"AT5G22570",2
"AT5G23000",2
"AT5G23520",2
"AT5G24205-AT5G24206",2
"AT5G24430",2
"AT5G24470",5
"AT5G24530",2
"AT5G24655",2
"AT5G24810",3
"AT5G25050",2
"AT5G25260",2
"AT5G25440",2
"AT5G26690",2
"AT5G26751",2
"AT5G28830",2
"AT5G33290",2
"AT5G34930",2
"AT5G35200",2
"AT5G36001",5
"AT5G36907",2
"AT5G36925",2
"AT5G37070",2
"AT5G37600",2
"AT5G37840",2
"AT5G38200",2
"AT5G38250",2
"AT5G38990",2
"AT5G39020",2
"AT5G39040",2
"AT5G40170",1
"AT5G40760",1
"AT5G41000",2
"AT5G41080",2
"AT5G41390",2
"AT5G41610",2
"AT5G41680",2
"AT5G41740",2
"AT5G42060-AT5G42070",4
"AT5G42140",2
"AT5G42150",2
"AT5G42440",2
"AT5G43420",2
"AT5G43450",1
"AT5G44060",2
"AT5G44585",2
"AT5G45000",2
"AT5G45110",2
"AT5G46050",2
"AT5G46230",2
"AT5G46770",2
"AT5G47910",2
"AT5G47960",2
"AT5G48070",1
"AT5G48570",2
"AT5G48970",2
"AT5G49480",2
"AT5G49630",3
"AT5G49690",2
"AT5G49760",2
"AT5G50130",1
"AT5G50210",2
"AT5G50560",2
"AT5G50570",2
"AT5G51190",2
"AT5G51570",1
"AT5G51640",2
"AT5G51770",2
"AT5G52020",2
"AT5G52640",2
"AT5G52750",2
"AT5G52810",2
"AT5G53050",2
"AT5G53110",2
"AT5G53560",2
"AT5G54165",2
"AT5G54400",2
"AT5G54510",1
"AT5G54590",2
"AT5G54610",2
"AT5G54650",2
"AT5G54710-AT5G54720",2
"AT5G54840",2
"AT5G54850",2
"AT5G55170",2
"AT5G55450",2
"AT5G55980",2
"AT5G56230",2
"AT5G56750",2
"AT5G56840",2
"AT5G56870",2
"AT5G56980",3
"AT5G57035",2
"AT5G57190",2
"AT5G57490",2
"AT5G57910",1
"AT5G58350",3
"AT5G58375",1
"AT5G58430",2
"AT5G58940",2
"AT5G59420",2
"AT5G59520",2
"AT5G59530",2
"AT5G59680",2
"AT5G59700",2
"AT5G59730",3
"AT5G60800",2
"AT5G60900",2
"AT5G60950",2
"AT5G61210",2
"AT5G61600",2
"AT5G62020",2
"AT5G62480",2
"AT5G62570",2
"AT5G62620",2
"AT5G62680",2
"AT5G62865",2
"AT5G63130",2
"AT5G63270",2
"AT5G63450",1
"AT5G63490",2
"AT5G63880",1
"AT5G64667",2
"AT5G64750",2
"AT5G64900",2
"AT5G65200",2
"AT5G65510",2
"AT5G65980",2
"AT5G66070",2
"AT5G66210",2
"AT5G66650",2
"AT5G66675",2
"AT5G66790",1
"AT5G67450",3
"AT5G67510",2
"AT1G01260",2
"AT1G01440",2
"AT1G01490",3
"AT1G01720",3
"AT1G02230",1
"AT1G02360",2
"AT1G02470-AT1G02475",2
"AT1G04247",3
"AT1G04310",2
"AT1G04353-AT1G05220",2
"AT1G04500",2
"AT1G04780",2
"AT1G04833",2
"AT1G04960",2
"AT1G04980",2
"AT1G05020",2
"AT1G05100",3
"AT1G05323-AT1G05327",2
"AT1G05340",2
"AT1G05680",2
"AT1G06160",2
"AT1G06180",2
"AT1G06290",2
"AT1G06800",2
"AT1G06840",2
"AT1G06870",2
"AT1G06877",2
"AT1G07630",2
"AT1G07890",2
"AT1G08315",2
"AT1G08320",2
"AT1G08510",2
"AT1G08800",1
"AT1G08830",1
"AT1G08973",2
"AT1G09080",2
"AT1G09500",2
"AT1G09645",2
"AT1G09740",2
"AT1G10417",2
"AT1G11580",2
"AT1G11940",1
"AT1G12200",2
"AT1G12320",1
"AT1G13110",2
"AT1G13180",2
"AT1G13245",3
"AT1G14200",2
"AT1G14360",2
"AT1G15120",2
"AT1G15125",2
"AT1G15540",2
"AT1G16300",2
"AT1G16520",2
"AT1G16540",2
"AT1G17020",2
"AT1G17290",2
"AT1G17330",2
"AT1G17744",2
"AT1G18020-AT1G18030",3
"AT1G18200",2
"AT1G18860",2
"AT1G18980",2
"AT1G19130",2
"AT1G19270",1
"AT1G20460",2
"AT1G20630",1
"AT1G20970",2
"AT1G20980",2
"AT1G21010",3
"AT1G21200-AT1G21202",4
"AT1G21390",2
"AT1G21450",2
"AT1G21900",2
"AT1G22360",1
"AT1G22420",2
"AT1G22510",2
"AT1G22840",2
"AT1G23440",2
"AT1G24100",1
"AT1G24350",1
"AT1G24440",2
"AT1G25560",2
"AT1G26340",2
"AT1G26840",1
"AT1G27500",2
"AT1G27980",3
"AT1G28240",2
"AT1G28510",2
"AT1G28520",3
"AT1G29310",2
"AT1G29860",2
"AT1G30040",2
"AT1G30450",2
"AT1G30760",3
"AT1G32380",2
"AT1G32700",2
"AT1G33390",1
"AT1G34300",2
"AT1G35350",2
"AT1G35580",1
"AT1G35670",2
"AT1G36050",2
"AT1G36600",2
"AT1G36990",2
"AT1G45145-AT1G45150",2
"AT1G47560",2
"AT1G47830",2
"AT1G48320",2
"AT1G50360",2
"AT1G50430",2
"AT1G53170",3
"AT1G53180",1
"AT1G54030",2
"AT1G54130",2
"AT1G54170",2
"AT1G55530",2
"AT1G55810",3
"AT1G55920",1
"AT1G55980",3
"AT1G56480",2
"AT1G57560",1
"AT1G57680",2
"AT1G58100",2
"AT1G58190",2
"AT1G58848",3
"AT1G59265",2
"AT1G59970",2
"AT1G60610",2
"AT1G60740",2
"AT1G61660",2
"AT1G62200",2
"AT1G62380",3
"AT1G63350",2
"AT1G64490",3
"AT1G64710",2
"AT1G65040",2
"AT1G65510",2
"AT1G65820",2
"AT1G66370",2
"AT1G66400",2
"AT1G66465",2
"AT1G66760",3
"AT1G66830",1
"AT1G67860",2
"AT1G67880",2
"AT1G68000",2
"AT1G68370",2
"AT1G68410",1
"AT1G68440",3
"AT1G68650",2
"AT1G68690",2
"AT1G68840",3
"AT1G69480",3
"AT1G69490",3
"AT1G69520",2
"AT1G70500",1
"AT1G70520",2
"AT1G70530",2
"AT1G70750",2
"AT1G70990",2
"AT1G71140",2
"AT1G71530",2
"AT1G71697-AT1G71700",2
"AT1G71830",2
"AT1G71940",2
"AT1G72000",2
"AT1G72070",2
"AT1G72330",2
"AT1G72680",2
"AT1G72730",2
"AT1G72760",3
"AT1G72920",2
"AT1G73730",2
"AT1G74170",2
"AT1G74740",2
"AT1G76150",2
"AT1G76390",2
"AT1G76490",2
"AT1G76520",2
"AT1G76680",2
"AT1G76800",3
"AT1G76980",1
"AT1G77510",2
"AT1G77760",1
"AT1G78460",1
"AT1G78895",2
"AT1G79360",2
"AT1G80160",1
"AT1G80190",1
"AT1G80610",2
"AT2G01450",2
"AT2G01540",2
"AT2G01600",2
"AT2G01670",3
"AT2G01818",2
"AT2G01850",3
"AT2G02040",2
"AT2G02330",2
"AT2G02350",2
"AT2G02390",2
"AT2G02730",2
"AT2G03120",2
"AT2G03240",3
"AT2G03360",1
"AT2G03450",2
"AT2G03530",2
"AT2G04050",2
"AT2G04160",2
"AT2G04650",1
"AT2G04725",3
"AT2G06510",1
"AT2G08635",2
"AT2G14610",2
"AT2G15040-AT2G15042",2
"AT2G16720",1
"AT2G16870",2
"AT2G17040",2
"AT2G17520",2
"AT2G17705",2
"AT2G17705-AT2G17710",2
"AT2G18090",2
"AT2G18700",1
"AT2G19570",1
"AT2G20420",2
"AT2G20610",1
"AT2G20950",2
"AT2G21060",1
"AT2G21470",2
"AT2G21520",2
"AT2G21620",1
"AT2G22010",2
"AT2G22300",2
"AT2G22800",3
"AT2G23420",2
"AT2G24100",3
"AT2G24200",2
"AT2G24550",3
"AT2G25110",2
"AT2G25240",1
"AT2G25790",1
"AT2G26170",3
"AT2G27510",2
"AT2G28110",2
"AT2G28130",1
"AT2G28755",1
"AT2G29065",2
"AT2G29300",3
"AT2G29340",3
"AT2G29420",1
"AT2G30550",2
"AT2G31090",2
"AT2G31180",2
"AT2G31230",2
"AT2G31305",2
"AT2G31820",2
"AT2G31955",2
"AT2G32830",2
"AT2G32960",1
"AT2G33080",2
"AT2G33100",2
"AT2G34250",2
"AT2G34790",1
"AT2G35733-AT2G35736",2
"AT2G36500",3
"AT2G36950",2
"AT2G37110",2
"AT2G37150",2
"AT2G37750",2
"AT2G37760",3
"AT2G37770",2
"AT2G38340",2
"AT2G38740",3
"AT2G39030",1
"AT2G39220",2
"AT2G39270",3
"AT2G40090",2
"AT2G40110",2
"AT2G40200",3
"AT2G40290-AT2G40300",2
"AT2G40820",2
"AT2G40940",2
"AT2G41231",1
"AT2G41420",2
"AT2G42950",3
"AT2G43140",2
"AT2G43490",2
"AT2G43620",2
"AT2G43820",3
"AT2G43870",2
"AT2G43932",2
"AT2G44130",1
"AT2G44180",2
"AT2G44480",2
"AT2G44520",2
"AT2G45210",1
"AT2G45450",2
"AT2G46150",2
"AT2G46260",2
"AT2G46320",2
"AT2G46600",2
"AT2G46650",1
"AT2G47270",1
"AT2G47520",2
"AT2G47950",1
"AT2G48010",2
"AT3G00720",2
"AT3G01040",1
"AT3G02240",2
"AT3G02375",1
"AT3G02550",2
"AT3G02610",2
"AT3G02740",2
"AT3G03000",2
"AT3G03310",2
"AT3G03440",3
"AT3G04000",3
"AT3G04080",2
"AT3G04300",2
"AT3G04320",2
"AT3G04695",1
"AT3G05230",2
"AT3G05365",2
"AT3G05390",2
"AT3G06100",2
"AT3G06420",3
"AT3G07370",2
"AT3G07700",3
"AT3G07780",2
"AT3G07785",1
"AT3G07800",2
"AT3G09060",1
"AT3G09870",3
"AT3G09915-AT3G09920",2
"AT3G09920",3
"AT3G10320",2
"AT3G10980",2
"AT3G11320",2
"AT3G11330",2
"AT3G11850",2
"AT3G11900",3
"AT3G12040",2
"AT3G12220",2
"AT3G12360",3
"AT3G12500",2
"AT3G12600",2
"AT3G12630",2
"AT3G12830",1
"AT3G13080",2
"AT3G13100",2
"AT3G13110",2
"AT3G13330",2
"AT3G13782",2
"AT3G14070",1
"AT3G14090",2
"AT3G14850",2
"AT3G15680",2
"AT3G15760",3
"AT3G16220",2
"AT3G16270",2
"AT3G16800",1
"AT3G17420",2
"AT3G17510",3
"AT3G18370",2
"AT3G18560",2
"AT3G18950",3
"AT3G19360",2
"AT3G19910",2
"AT3G20040",2
"AT3G20670",2
"AT3G21150",3
"AT3G21220",2
"AT3G21690",2
"AT3G22890",1
"AT3G22950",2
"AT3G22980",2
"AT3G23150",1
"AT3G23160",1
"AT3G23540",2
"AT3G23570",2
"AT3G23730",2
"AT3G24170",3
"AT3G24420",1
"AT3G24715",2
"AT3G24900",2
"AT3G25010",2
"AT3G26600",2
"AT3G26744",1
"AT3G27290",2
"AT3G27380",2
"AT3G42630-AT3G42640",4
"AT3G43670",2
"AT3G44300",2
"AT3G44320",2
"AT3G45130",2
"AT3G45330",2
"AT3G46670",2
"AT3G47380",1
"AT3G48020",2
"AT3G48080",2
"AT3G48380",2
"AT3G48760",2
"AT3G49160",2
"AT3G49210",2
"AT3G49350",2
"AT3G49570",1
"AT3G50550",2
"AT3G51430",2
"AT3G51860",3
"AT3G51895",3
"AT3G51970",3
"AT3G52360",3
"AT3G52430",2
"AT3G52480",3
"AT3G52930",2
"AT3G53180",3
"AT3G53232",2
"AT3G53670",2
"AT3G53710",2
"AT3G54110",2
"AT3G54120",1
"AT3G54620",2
"AT3G54740",1
"AT3G54960",2
"AT3G55150",2
"AT3G55270",2
"AT3G55560",2
"AT3G55730",2
"AT3G55890",2
"AT3G55890-AT3G55910",2
"AT3G55960",3
"AT3G56200",2
"AT3G56600",2
"AT3G57260",2
"AT3G57390",2
"AT3G57760",2
"AT3G58540",1
"AT3G58710",2
"AT3G58750",1
"AT3G59570",2
"AT3G59750",2
"AT3G59760",2
"AT3G60010",2
"AT3G60680",2
"AT3G60720",3
"AT3G60930",3
"AT3G60966",2
"AT3G61440",2
"AT3G62260",2
"AT3G62420",2
"AT3G62590",2
"AT3G63010",2
"AT3G66654",2
"AT4G00240",2
"AT4G00940",2
"AT4G00955-AT4G00960",3
"AT4G00970",2
"AT4G01370",2
"AT4G01450",3
"AT4G01960",2
"AT4G02350",2
"AT4G02660",2
"AT4G03085",2
"AT4G03110",3
"AT4G04450",2
"AT4G04500",2
"AT4G04610",1
"AT4G05010",2
"AT4G05018",2
"AT4G05100",2
"AT4G05120",2
"AT4G05320",3
"AT4G08290",3
"AT4G08320",2
