"","cl"
"AT4G08390",2
"AT4G08500",2
"AT4G10720",2
"AT4G10955-AT4G10960",2
"AT4G11330",3
"AT4G11650",2
"AT4G11670",2
"AT4G12070",1
"AT4G12790",2
"AT4G13110",1
"AT4G13350",2
"AT4G13400",3
"AT4G14410",2
"AT4G14420",2
"AT4G14430",2
"AT4G14950",2
"AT4G15140",2
"AT4G15420",2
"AT4G15550",3
"AT4G15690",1
"AT4G15700",3
"AT4G15760",2
"AT4G16250",2
"AT4G16480",2
"AT4G16660",2
"AT4G17245",3
"AT4G17250",3
"AT4G17650",1
"AT4G18050",2
"AT4G18350",2
"AT4G18580",2
"AT4G18800",1
"AT4G19000",2
"AT4G19410",1
"AT4G19520",2
"AT4G20110",2
"AT4G20460",2
"AT4G21540",2
"AT4G21790",2
"AT4G21990",2
"AT4G22520",2
"AT4G23100",2
"AT4G23215-AT4G23220",2
"AT4G23710",2
"AT4G23850",2
"AT4G24026",2
"AT4G24120",2
"AT4G24400",2
"AT4G24730",2
"AT4G25640",2
"AT4G25690",2
"AT4G26240",2
"AT4G26400",2
"AT4G26940",1
"AT4G27300",3
"AT4G27460",2
"AT4G27830",1
"AT4G27860",1
"AT4G27940",3
"AT4G28340",1
"AT4G29520",2
"AT4G29950",3
"AT4G30160",2
"AT4G30240",1
"AT4G30490",3
"AT4G30500",2
"AT4G30510",1
"AT4G30910",2
"AT4G31500",2
"AT4G31860",2
"AT4G31980",2
"AT4G32070",2
"AT4G32140",2
"AT4G32690",2
"AT4G33100",2
"AT4G33360",2
"AT4G33565",2
"AT4G33930",2
"AT4G34770",3
"AT4G35170",2
"AT4G35460",2
"AT4G35770",2
"AT4G36040",3
"AT4G37120",2
"AT4G37310",2
"AT4G37790",3
"AT4G39570-AT4G39580",2
"AT4G39940",1
"AT5G01500",2
"AT5G01600",2
"AT5G01720",1
"AT5G02020",2
"AT5G02065",3
"AT5G02500",2
"AT5G02895",2
"AT5G03160",2
"AT5G03290",2
"AT5G03390",2
"AT5G03730",2
"AT5G03905",2
"AT5G04540",2
"AT5G04590",1
"AT5G04860",2
"AT5G04870-AT5G04880",2
"AT5G04980",2
"AT5G05590",1
"AT5G05600",1
"AT5G05805-AT5G38747",2
"AT5G05860",3
"AT5G06695",3
"AT5G06811",2
"AT5G06839",2
"AT5G07010",2
"AT5G07405-AT5G07415-AT5G49570",2
"AT5G07730",2
"AT5G07770",2
"AT5G08139",2
"AT5G09165",2
"AT5G09440",1
"AT5G09525",1
"AT5G09790",2
"AT5G09890",2
"AT5G10300",1
"AT5G10625",1
"AT5G11520",2
"AT5G12010",1
"AT5G13100",2
"AT5G13180",1
"AT5G13210",1
"AT5G13370",2
"AT5G13550",1
"AT5G13680",2
"AT5G13750",2
"AT5G13760",2
"AT5G13820",2
"AT5G14330",2
"AT5G14420",2
"AT5G14650",2
"AT5G14730",2
"AT5G14930",2
"AT5G15470",1
"AT5G16200",3
"AT5G16235",2
"AT5G16370",2
"AT5G16800",2
"AT5G16960-AT5G16970",2
"AT5G17780",2
"AT5G17860",2
"AT5G17910",2
"AT5G18070",2
"AT5G18110",2
"AT5G18310",2
"AT5G18600",3
"AT5G20830",1
"AT5G20910",2
"AT5G20950",2
"AT5G21090",1
"AT5G21482",3
"AT5G21960",2
"AT5G22280",2
"AT5G22690",2
"AT5G22860",2
"AT5G24090",3
"AT5G24240",1
"AT5G24260",2
"AT5G24420",2
"AT5G25130",1
"AT5G25180",2
"AT5G25350",2
"AT5G25820",2
"AT5G26030",2
"AT5G26600",2
"AT5G27600",2
"AT5G27830",2
"AT5G28540",2
"AT5G33320",2
"AT5G35370",2
"AT5G35960",2
"AT5G36220",2
"AT5G37240",1
"AT5G37480",2
"AT5G38210",2
"AT5G38530",2
"AT5G38830",2
"AT5G39090",2
"AT5G39580",2
"AT5G39610",2
"AT5G40650",2
"AT5G40730",2
"AT5G40850",2
"AT5G41170",1
"AT5G41990",2
"AT5G42050",2
"AT5G42350",2
"AT5G44240",2
"AT5G44290",2
"AT5G44578",1
"AT5G44610",1
"AT5G44820",2
"AT5G45100",1
"AT5G45130",1
"AT5G45340",3
"AT5G45410",2
"AT5G45440",2
"AT5G45500",2
"AT5G45900",2
"AT5G46100",4
"AT5G46360",2
"AT5G46871",1
"AT5G47130",2
"AT5G47140",2
"AT5G47200",2
"AT5G47420",2
"AT5G48000",2
"AT5G48180",2
"AT5G48560",1
"AT5G48770",3
"AT5G49000",2
"AT5G49665",2
"AT5G50440",1
"AT5G50460",2
"AT5G50670",2
"AT5G50820",2
"AT5G51290",2
"AT5G51440",2
"AT5G51630",2
"AT5G51710",2
"AT5G52250",1
"AT5G52740",2
"AT5G53360",1
"AT5G53486",1
"AT5G53550",2
"AT5G53820",2
"AT5G53830",2
"AT5G54095-AT5G54100",2
"AT5G54100",2
"AT5G54110",3
"AT5G54780",2
"AT5G54970",2
"AT5G55070",2
"AT5G55200",2
"AT5G55850",2
"AT5G55930",2
"AT5G56030",2
"AT5G56350",2
"AT5G57060",2
"AT5G57760",3
"AT5G58370-AT5G58375",2
"AT5G58620",2
"AT5G58670",2
"AT5G58680",2
"AT5G58730",2
"AT5G58787",2
"AT5G59400",3
"AT5G59480",3
"AT5G59510",1
"AT5G59580",2
"AT5G59790",2
"AT5G60270",2
"AT5G60700",2
"AT5G61250",2
"AT5G61790",2
"AT5G61900-AT5G61910",2
"AT5G63010",2
"AT5G63850",3
"AT5G64100",5
"AT5G64120",2
"AT5G64240",2
"AT5G64260",1
"AT5G64510",2
"AT5G64810-AT5G64813",2
"AT5G65110",2
"AT5G65210",2
"AT5G65240",2
"AT5G65270",2
"AT5G65610",1
"AT5G66170",2
"AT5G66200",2
"AT5G66390",2
"AT5G66620",3
"AT5G66630",2
"AT5G66690",2
"AT5G67250",2
"AT5G67540",2
"AT5G67600",3
"AT1G17610",2
"AT1G27020",2
"AT1G55230",1
"AT1G60850",1
"AT1G72890",3
"AT2G02750",5
"AT2G07669-AT2G07678",4
"AT3G09160",5
"AT3G09440",4
"AT3G22275",1
"AT3G25890",1
"AT3G45060",3
"AT3G50140",2
"AT4G02220",2
"AT4G04435",4
"AT4G16700",2
"AT4G31790",1
"AT4G34530",4
"AT4G37210-AT4G37220",5
"AT5G06570",1
"AT5G11240",1
"AT5G14000",5
"AT5G61770",1
"AT1G07500",3
"AT1G07887",2
"AT1G08230",1
"AT1G08630",3
"AT1G08657",4
"AT1G17720",1
"AT1G18590",3
"AT1G18745",2
"AT1G19050",3
"AT1G21529",2
"AT1G31570",4
"AT1G37130",3
"AT1G48510",2
"AT1G54270",2
"AT1G57765",1
"AT1G58170",1
"AT1G60470",2
"AT1G61890",3
"AT1G66780",2
"AT1G67100",2
"AT1G69290",5
"AT1G72240",3
"AT1G77370",2
"AT1G77420-AT1G77440",2
"AT1G78600",1
"AT1G80280",2
"AT2G00340",2
"AT2G02120",1
"AT2G02350-AT2G02360",2
"AT2G11270",2
"AT2G22475",2
"AT2G22630",2
"AT2G22770",1
"AT2G31585",2
"AT2G32800",2
"AT2G38230",3
"AT2G39435",1
"AT2G39440",4
"AT2G42760",3
"AT2G46610-AT2G46620",1
"AT2G47830",2
"AT3G03030",6
"AT3G03320",1
"AT3G05890",3
"AT3G06330",3
"AT3G12380",3
"AT3G12502",2
"AT3G14440",3
"AT3G14870",1
"AT3G16470",1
"AT3G20898",1
"AT3G21650",1
"AT3G24500",3
"AT3G46520",2
"AT3G50800",3
"AT3G57740",2
"AT4G02380",2
"AT4G08245",2
"AT4G11350",3
"AT4G11485",3
"AT4G13195",1
"AT4G15093",1
"AT4G16000",1
"AT4G19230",1
"AT4G28290",3
"AT4G35060",3
"AT5G14640",2
"AT5G15240",1
"AT5G15265",2
"AT5G15490",1
"AT5G15940",2
"AT5G16570",2
"AT5G22850",1
"AT5G24270",1
"AT5G26749",1
"AT5G34851",3
"AT5G35320",2
"AT5G38300",1
"AT5G39390",2
"AT5G40460",2
"AT5G51680",2
"AT5G53760",2
"AT5G54280",3
"AT5G57000",1
"AT5G59150",1
"AT5G65170",1
"AT5G65790",1
"AT5G65890",3
"AT5G66730",2
"AT5G67210",3
"AT1G05470",5
"AT1G11350-AT1G11360",6
"AT1G15040",5
"AT1G18690-AT1G18700",2
"AT1G19750",5
"AT1G26200",2
"AT1G44890",1
"AT1G53490",2
"AT1G54960",1
"AT1G62420",2
"AT1G63380",2
"AT1G74200-AT1G74205",2
"AT1G78000",1
"AT2G17740",3
"AT2G19390",4
"AT2G34390",5
"AT2G39200",2
"AT3G01840",2
"AT3G04700",2
"AT3G11000",2
"AT3G21020",5
"AT3G22400",1
"AT3G27620",5
"AT3G28510",2
"AT3G42180",2
"AT3G46280",2
"AT3G48900",5
"AT3G49550-AT3G49560",5
"AT3G53360",5
"AT3G54270",5
"AT3G60470",2
"AT4G04190",5
"AT4G11920",5
"AT4G34190-AT4G34200",2
"AT4G39780",3
"AT5G25790",1
"AT5G38340",2
"AT5G38650-AT5G38660",5
"AT5G39785",2
"AT5G42120",5
"AT5G43155",1
"AT5G44575",3
"AT5G60470",5
"AT5G66631",1
"AT1G01650",1
"AT1G01940",1
"AT1G02570",2
"AT1G02850",2
"AT1G03060",2
"AT1G03110",1
"AT1G04267-AT1G04273-AT1G04277-AT1G04480",1
"AT1G04513",3
"AT1G04555",2
"AT1G04730",1
"AT1G05927",1
"AT1G06033-AT1G26880",1
"AT1G06380",1
"AT1G06515",1
"AT1G07893",3
"AT1G07957-AT1G54270",2
"AT1G09210",2
"AT1G09330",2
"AT1G09630",2
"AT1G10290",2
"AT1G10410",1
"AT1G10630",2
"AT1G11185",2
"AT1G11890",2
"AT1G13160",1
"AT1G14010",2
"AT1G14020",1
"AT1G14120",2
"AT1G14300",1
"AT1G14320",1
"AT1G14670",2
"AT1G14810",1
"AT1G17745",2
"AT1G19640",3
"AT1G21750",1
"AT1G22200",2
"AT1G22403",1
"AT1G22960",2
"AT1G23490",2
"AT1G24180",1
"AT1G24270",1
"AT1G25425",3
"AT1G26750",2
"AT1G27390",2
"AT1G27760",2
"AT1G27970",2
"AT1G28210",2
"AT1G29060",2
"AT1G29940",1
"AT1G30890",2
"AT1G31660",1
"AT1G31817",1
"AT1G32640",1
"AT1G44900",1
"AT1G47750",2
"AT1G48970",2
"AT1G49960",2
"AT1G51770",2
"AT1G54010",2
"AT1G54020",1
"AT1G55020",3
"AT1G55080",2
"AT1G55535",1
"AT1G56330",2
"AT1G56340",2
"AT1G58380",1
"AT1G59820",2
"AT1G61730",1
"AT1G61740",3
"AT1G61770",2
"AT1G61870",1
"AT1G62660",3
"AT1G62740",2
"AT1G62760",2
"AT1G63220",1
"AT1G64200",3
"AT1G65250",2
"AT1G65390",2
"AT1G66070",1
"AT1G66390",3
"AT1G66620",1
"AT1G66740",3
"AT1G67620",1
"AT1G68310",2
"AT1G69250",2
"AT1G69900",2
"AT1G69910",2
"AT1G70770",2
"AT1G71692",2
"AT1G71780",2
"AT1G72470",2
"AT1G74030",2
"AT1G74450",2
"AT1G75670",1
"AT1G78120",3
"AT1G78570",3
"AT1G78940",2
"AT1G79930",1
"AT1G80710",1
"AT2G01370",2
"AT2G03800",2
"AT2G04305",2
"AT2G05220",1
"AT2G06895",1
"AT2G07671",3
"AT2G07690",1
"AT2G08650-AT2G34110",3
"AT2G08765-AT2G08770-AT2G35744-AT2G35747-AT2G35750",3
"AT2G09815-AT2G47170",3
"AT2G09990",2
"AT2G13980",2
"AT2G14460",1
"AT2G14750",3
"AT2G15292",1
"AT2G16460",3
"AT2G17250",1
"AT2G17730",1
"AT2G18220",1
"AT2G18330",1
"AT2G19640",2
"AT2G20450",1
"AT2G20760",2
"AT2G20940",1
"AT2G21160",2
"AT2G24490",1
"AT2G24500",1
"AT2G25870",1
"AT2G26980",1
"AT2G27580",2
"AT2G28600",1
"AT2G29570",1
"AT2G30870",1
"AT2G31060",1
"AT2G31270",1
"AT2G31390",2
"AT2G31410",1
"AT2G32220",1
"AT2G32380",2
"AT2G32920",1
"AT2G34070",3
"AT2G36300",2
"AT2G36590",3
"AT2G36880",3
"AT2G37040",3
"AT2G37250",2
"AT2G37550",2
"AT2G37560",1
"AT2G37580",1
"AT2G38750",3
"AT2G39020",1
"AT2G39050",2
"AT2G39770",3
"AT2G43150",2
"AT2G43640",2
"AT2G44660",3
"AT2G45290",2
"AT2G45540",1
"AT2G46170",2
"AT2G47470",2
"AT3G01640",2
"AT3G01930",2
"AT3G02560",1
"AT3G03060",1
"AT3G03160",2
"AT3G04710",1
"AT3G04840",1
"AT3G05280",2
"AT3G05500",3
"AT3G06370",3
"AT3G06433",5
"AT3G07715-AT3G07725-AT3G07735-AT3G47342-AT3G47347-AT3G47348",1
"AT3G07860",5
"AT3G08580",2
"AT3G08630",1
"AT3G08980",1
"AT3G09795",1
"AT3G09875",2
"AT3G10610",1
"AT3G10660",1
"AT3G10750",2
"AT3G13230",1
"AT3G13940",1
"AT3G14740",1
"AT3G15980",2
"AT3G18760",1
"AT3G21480",1
"AT3G22310",1
"AT3G22942-AT3G22945",2
"AT3G23740",1
"AT3G24440",2
"AT3G24506",2
"AT3G26340",2
"AT3G27010",2
"AT3G27550",1
"AT3G28153",2
"AT3G44430",3
"AT3G46845",1
"AT3G48990",2
"AT3G49940",1
"AT3G50030",2
"AT3G50310",2
"AT3G50760",3
"AT3G50920",2
"AT3G52770",2
"AT3G53000",2
"AT3G53260",3
"AT3G54320",2
"AT3G54650",1
"AT3G55110",3
"AT3G55370",1
"AT3G55600",2
"AT3G56030",2
"AT3G57490",1
"AT3G58660",1
"AT3G59670",1
"AT3G60360",1
"AT3G60800",2
"AT3G61560",3
"AT3G63050",2
"AT3G63420",2
"AT3G63440",1
"AT4G00570",2
"AT4G01560",1
"AT4G01660",2
"AT4G02930",1
"AT4G03340",3
"AT4G03550",2
"AT4G05440",2
"AT4G09300",2
"AT4G09805",4
"AT4G09845-AT4G39361-AT4G39363-AT4G39364-AT4G39366",2
"AT4G09925-AT4G39838",3
"AT4G10450",1
"AT4G10480",1
"AT4G12620",1
"AT4G16630",1
"AT4G17240",1
"AT4G19180",2
"AT4G19440",2
"AT4G20460-AT4G20470-AT4G20480",2
"AT4G21410",2
"AT4G21700",2
"AT4G22320",2
"AT4G22910",2
"AT4G24170",2
"AT4G24190",2
"AT4G24820-AT4G24830",2
"AT4G24830",2
"AT4G25340",1
"AT4G25730",1
"AT4G27500",2
"AT4G30860",1
"AT4G31340",1
"AT4G31700",1
"AT4G31770",2
"AT4G31960",2
"AT4G32200",2
"AT4G34570",2
"AT4G34590",1
"AT4G34660",2
"AT4G34740",2
"AT4G35165",1
"AT4G36130",1
"AT4G36220",2
"AT4G36680",1
"AT4G37910",1
"AT4G39870-AT4G39880",1
"AT4G39880",1
"AT4G39990",1
"AT5G01495-AT5G01505-AT5G01515-AT5G08180",1
"AT5G01810",3
"AT5G02430",1
"AT5G02590",3
"AT5G03204",1
"AT5G04330",3
"AT5G06110",2
"AT5G07340",1
"AT5G07350",2
"AT5G08020",1
"AT5G08805-AT5G57870",2
"AT5G10840",2
"AT5G11230",3
"AT5G12890",2
"AT5G14040",2
"AT5G14520",1
"AT5G15650",1
"AT5G15750",1
"AT5G16690",1
"AT5G16930",1
"AT5G17330",2
"AT5G18520",1
"AT5G19100",2
"AT5G19440",2
"AT5G20020",1
"AT5G20160",1
"AT5G20600",1
"AT5G20810",2
"AT5G21105",1
"AT5G22790",1
"AT5G23395",1
"AT5G23710",2
"AT5G26667",1
"AT5G26860",1
"AT5G27770",1
"AT5G28050",3
"AT5G28235",2
"AT5G35620",1
"AT5G40000",2
"AT5G44635",1
"AT5G44860",2
"AT5G45570",2
"AT5G45750",1
"AT5G46740",1
"AT5G48240",1
"AT5G48530",2
"AT5G52320",1
"AT5G52570",3
"AT5G52882",1
"AT5G55920",1
"AT5G56010",2
"AT5G56170",2
"AT5G56950",1
"AT5G59560",2
"AT5G59850",1
"AT5G60790",2
"AT5G61240",3
"AT5G63980",1
"AT5G64090",2
"AT5G64400",2
"AT5G64710",1
"AT5G64950",1
"AT5G65140",3
"AT5G65870",1
"AT5G66760",3
"AT5G67070",3
"AT5G67500",2
"ATMG01280",2
"AT1G01290",3
"AT1G01820",1
"AT1G05287",2
"AT1G06173",5
"AT1G07050",5
"AT1G07150",2
"AT1G07920",5
"AT1G10588",2
"AT1G18850",1
"AT1G20380",1
"AT1G27470",1
"AT1G29340",2
"AT1G32170",1
"AT1G55040",1
"AT1G55820",1
"AT1G63090",3
"AT1G63530",2
"AT1G68050",5
"AT1G68990",1
"AT1G71820",2
"AT1G76130",3
"AT1G79490-AT1G79500",2
"AT2G07015",5
"AT2G27200",1
"AT3G00410",1
"AT3G03110",1
"AT3G04050",2
"AT3G04770",2
"AT3G05320",3
"AT3G05380",1
"AT3G11220",1
"AT3G18915",1
"AT3G21540",1
"AT3G30720",6
"AT3G46680",2
"AT3G48835",5
"AT3G55880",2
"AT3G61160",1
"AT3G61340",2
"AT4G03515",5
"AT4G04790",1
"AT4G09030",3
"AT4G10380",1
"AT4G11070",2
"AT4G19360",2
"AT4G30270",1
"AT4G32300",2
"AT4G32510",1
"AT4G34410",2
"AT4G36820",2
"AT4G36850",5
"AT4G37295",3
"AT4G40085",1
"AT5G03690",2
"AT5G07100",2
"AT5G09395",4
"AT5G23235",5
"AT5G24620",5
"AT5G35205",2
"AT5G40160-AT5G40170",1
"AT5G41730",2
"AT5G44460",2
"AT5G47980",2
"AT5G57630",1
"AT5G60310",2
"AT1G04017",3
"AT1G06153",2
"AT1G07920-AT1G44370",6
"AT1G08650",1
"AT1G08857",2
"AT1G11572",2
"AT1G18010",3
"AT1G19190",5
"AT1G26960",2
"AT1G26970",2
"AT1G47480",2
"AT1G58225",2
"AT1G63930",2
"AT1G66170",2
"AT1G68330",2
"AT1G75040",2
"AT2G06045",2
"AT2G17050-AT2G17055",2
"AT2G30070",1
"AT3G00280",2
"AT3G16870",1
"AT3G25730",1
"AT3G29034",2
"AT3G60580",2
"AT4G13890",2
"AT5G04770",5
"AT5G09805",2
"AT5G15890",2
"AT5G23490",2
"AT5G35935",5
"AT5G38280",3
"AT5G39360",2
"AT5G56510",2
"AT5G62770",2
"AT1G02060",5
"AT1G02300",5
"AT1G05333",2
"AT1G05750",5
"AT1G06980",6
"AT1G08610",5
"AT1G08645",1
"AT1G08647-AT1G63990",6
"AT1G08723",5
"AT1G09710",5
"AT1G09925",6
"AT1G10760",5
"AT1G11700",6
"AT1G11900",5
"AT1G13970",3
"AT1G14210",6
"AT1G14700",6
"AT1G15510",5
"AT1G16410",6
"AT1G16630",5
"AT1G18710",5
"AT1G20190",6
"AT1G20230",5
"AT1G20840",5
"AT1G21650",5
"AT1G21651",6
"AT1G22570",5
"AT1G28715",5
"AT1G29170",6
"AT1G30840",5
"AT1G31230",6
"AT1G31770",5
"AT1G31910",5
"AT1G32415",5
"AT1G34160",5
"AT1G35260",6
"AT1G48175",5
"AT1G48960",6
"AT1G49720",5
"AT1G51080",5
"AT1G51090",5
"AT1G53100",5
"AT1G53160",6
"AT1G54730",6
"AT1G56010",5
"AT1G59990",5
"AT1G61970",5
"AT1G62910",5
"AT1G65900",5
"AT1G65920",6
"AT1G68220",5
"AT1G70640",5
"AT1G70890",6
"AT1G71260",5
"AT1G71460",5
"AT1G71870",6
"AT1G73310",5
"AT1G73570",6
"AT1G74940",5
"AT1G76880",6
"AT1G78060",6
"AT1G78930",5
"AT1G79560",5
"AT2G03310",5
"AT2G06002",6
"AT2G07325",6
"AT2G13420",5
"AT2G15490",5
"AT2G15790",5
"AT2G18890",6
"AT2G21710",5
"AT2G22840",5
"AT2G24762",5
"AT2G27190",5
"AT2G28660",5
"AT2G29630",5
"AT2G29890",6
"AT2G31170",5
"AT2G32650",5
"AT2G33735",5
"AT2G33770",6
"AT2G33860",5
"AT2G34190",5
"AT2G34640",5
"AT2G34680",6
"AT2G36570",6
"AT2G36870",6
"AT2G38070",6
"AT2G39140",5
"AT2G39800",6
"AT2G39920",5
"AT2G40480",6
"AT2G41820",6
"AT2G42370",5
"AT2G46110",5
"AT2G46990",6
"AT3G02065-AT3G02070",5
"AT3G03145",2
"AT3G03630",5
"AT3G04380",5
"AT3G04950",5
"AT3G05120",5
"AT3G07730",5
"AT3G13160",5
"AT3G14900",5
"AT3G14940",6
"AT3G16180",5
"AT3G17170",5
"AT3G20440",5
"AT3G21100",5
"AT3G23020",5
"AT3G23870",5
"AT3G26280",6
"AT3G26480",3
"AT3G27180",5
"AT3G27210",5
"AT3G28080",6
"AT3G28130",6
"AT3G29320",5
"AT3G42556",6
"AT3G42670",5
"AT3G48260",6
"AT3G48410",5
"AT3G48500",5
"AT3G49170",5
"AT3G50440",6
"AT3G50840",6
"AT3G50845",5
"AT3G52390",5
"AT3G52680",6
"AT3G52840",6
"AT3G55390",5
"AT3G55610",6
"AT3G57930",5
"AT3G58430",5
"AT3G59390",6
"AT3G63210",5
"AT4G00150",6
"AT4G01670",5
"AT4G03060",6
"AT4G03070",6
"AT4G04810",6
"AT4G04830",6
"AT4G08785",5
"AT4G09500",6
"AT4G11400",6
"AT4G12080",5
"AT4G12540",6
"AT4G12750",5
"AT4G12900",5
"AT4G14100",6
"AT4G14620",6
"AT4G14660",5
"AT4G17880",6
"AT4G17980",5
"AT4G20270",5
"AT4G22760",5
"AT4G23870",5
"AT4G23880",5
"AT4G24210",6
"AT4G25120",5
"AT4G26670",5
"AT4G29110",6
"AT4G30330",6
"AT4G30710",5
"AT4G30720",5
"AT4G33170",5
"AT4G33625",5
"AT4G34020",5
"AT4G34900",5
"AT4G37180",6
"AT4G38280-AT4G38290",5
"AT5G01095",5
"AT5G01910",5
"AT5G02860",5
"AT5G03230",6
"AT5G03800",5
"AT5G05560",5
"AT5G05620",5
"AT5G06000",4
"AT5G07690",6
"AT5G07900",5
"AT5G08210-AT5G08230",5
"AT5G08610",5
"AT5G11100",5
"AT5G16530",6
"AT5G18260",5
"AT5G19210",5
"AT5G20700",6
"AT5G23240",5
"AT5G24010",5
"AT5G24150-AT5G24155",6
"AT5G27400",5
"AT5G37570",5
"AT5G38730",5
"AT5G38860",6
"AT5G40600",6
"AT5G42060",1
"AT5G45140",5
"AT5G45610",5
"AT5G48470",5
"AT5G49110",5
"AT5G49190",5
"AT5G49560",5
"AT5G51350",5
"AT5G51540",5
"AT5G52950",5
"AT5G58480",6
"AT5G58520",6
"AT5G59350",5
"AT5G61420",6
"AT5G63420",5
"AT5G63530",6
"AT5G66440",5
"AT5G66455",6
"ATMG00580",5
"AT1G01420",6
"AT1G01570",4
"AT1G01610",6
"AT1G02110",6
"AT1G02180",5
"AT1G03310",6
"AT1G03830",5
"AT1G04710",6
"AT1G05420",6
"AT1G05460",6
"AT1G05870",6
"AT1G05873",5
"AT1G06177-AT1G28710",5
"AT1G06910",6
"AT1G06993-AT1G36675-AT1G36680",3
"AT1G07280",5
"AT1G09310",6
"AT1G09713",5
"AT1G10370",6
"AT1G10522",5
"AT1G10970",6
"AT1G11130",6
"AT1G11220",5
"AT1G11840",6
"AT1G12330",6
"AT1G13790",6
"AT1G14520",6
"AT1G15165",6
"AT1G15260",6
"AT1G15410",6
"AT1G15580",6
"AT1G15960",3
"AT1G16190",6
"AT1G16340",5
"AT1G16730",6
"AT1G16780",6
"AT1G16825",5
"AT1G17100",6
"AT1G17510",5
"AT1G17920",6
"AT1G18265",5
"AT1G18550",6
"AT1G18840",6
"AT1G19140",6
"AT1G19835",6
"AT1G20030",5
"AT1G21090",6
"AT1G21440",6
"AT1G21880",5
"AT1G22160",6
"AT1G22170",6
"AT1G22760",5
"AT1G24265",5
"AT1G24764",5
"AT1G24792",4
"AT1G24793",5
"AT1G26150",6
"AT1G26230",5
"AT1G26500",5
"AT1G27120",6
"AT1G27480",5
"AT1G27680",5
"AT1G27940",6
"AT1G28610",5
"AT1G28620",4
"AT1G29980",6
"AT1G31070",6
"AT1G31650",6
"AT1G32900",6
"AT1G33260",6
"AT1G33265",5
"AT1G33720",5
"AT1G34044",2
"AT1G34640",6
"AT1G41830",6
"AT1G42550",6
"AT1G44575",6
"AT1G45010",6
"AT1G45110",5
"AT1G45130",6
"AT1G45616",6
"AT1G47370",4
"AT1G47670",5
"AT1G47820",5
"AT1G47900",6
"AT1G48300",6
"AT1G48600",6
"AT1G48745",6
"AT1G48750",6
"AT1G49430",6
"AT1G49580",6
"AT1G49740",6
"AT1G49990",6
"AT1G50240",6
"AT1G50280",6
"AT1G51070",5
"AT1G51140",6
"AT1G51440",6
"AT1G52700",3
"AT1G53000",6
"AT1G53090",6
"AT1G53875",3
"AT1G53900",2
"AT1G54180",6
"AT1G54200",6
"AT1G54310",5
"AT1G55260",6
"AT1G56050",6
"AT1G56170",6
"AT1G56580",6
"AT1G58520",6
"AT1G60000",6
"AT1G60260",6
"AT1G60270",6
"AT1G60700",6
"AT1G60790",6
"AT1G60989",5
"AT1G61930",6
"AT1G62120",5
"AT1G62560",6
"AT1G62710",6
"AT1G62750",6
"AT1G62780",6
"AT1G63850",6
"AT1G64270",5
"AT1G64390",6
"AT1G64530",6
"AT1G64670",6
"AT1G64760",5
"AT1G64770",6
"AT1G64780",6
"AT1G65010",6
"AT1G65380",6
"AT1G65710",5
"AT1G65860",6
"AT1G66820",5
"AT1G67040",6
"AT1G67690",5
"AT1G67750",6
"AT1G68238",6
"AT1G68470",6
"AT1G68570",6
"AT1G69200",5
"AT1G70210",6
"AT1G70250",6
"AT1G70280",6
"AT1G70370",6
"AT1G71710",5
"AT1G72030",3
"AT1G72190",5
"AT1G72230",6
"AT1G72790",5
"AT1G72810",6
"AT1G73040",6
"AT1G73590",6
"AT1G73640",5
"AT1G74090",6
"AT1G74520",5
"AT1G74850",5
"AT1G74880",6
"AT1G75800",5
"AT1G76540",6
"AT1G76740",5
"AT1G78020",6
"AT1G78100",6
"AT1G78510",6
"AT1G78680",6
"AT1G79460",5
"AT1G79640",6
"AT1G80880",5
"AT2G01020",4
"AT2G01120",5
"AT2G01390-AT2G01400-AT2G03975",5
"AT2G01870",5
"AT2G02020",6
"AT2G02740",5
"AT2G03090",4
"AT2G03140",6
"AT2G04030",5
"AT2G04460",5
"AT2G05920",6
"AT2G05990",6
"AT2G08485-AT2G31902",5
"AT2G11810",5
"AT2G14520",5
"AT2G14890",6
"AT2G16890",5
"AT2G18230",6
"AT2G18735",6
"AT2G19620",6
"AT2G19720",6
"AT2G19860",6
"AT2G20724",5
"AT2G20780-AT2G20790",4
"AT2G21050",6
"AT2G21185",6
"AT2G21195",6
"AT2G21210",6
"AT2G21300",6
"AT2G21320",6
"AT2G21330",6
"AT2G21560",6
"AT2G22080",5
"AT2G22170",6
"AT2G22190",5
"AT2G22230",6
"AT2G22920",6
"AT2G23000",6
"AT2G23340",6
"AT2G23670",6
"AT2G23672",6
"AT2G24060",5
"AT2G24120",5
"AT2G24350",6
"AT2G24420",6
"AT2G24630",6
"AT2G26640",6
"AT2G27810",6
"AT2G28150",6
"AT2G28550",6
"AT2G29550",6
"AT2G30920",5
"AT2G31730",3
"AT2G31890",5
"AT2G32290",6
"AT2G32560",6
"AT2G32640",6
"AT2G32970",6
"AT2G33051",5
"AT2G33570",6
"AT2G34150",3
"AT2G34920",6
"AT2G35350",6
"AT2G35370",6
"AT2G35470",6
"AT2G35820",5
"AT2G35830",6
"AT2G35840-AT2G35850",6
"AT2G35860",6
"AT2G36145",5
"AT2G36230",6
"AT2G36390",5
"AT2G36835",5
"AT2G37240",6
"AT2G37630",5
"AT2G37790",6
"AT2G38540",6
"AT2G39240",6
"AT2G40130",5
"AT2G40475",6
"AT2G40840",5
"AT2G40900",6
"AT2G40960",6
"AT2G41330",6
"AT2G41460",5
"AT2G41720",5
