"","Gene_ID","L1_B16","L1_B20","L1_M16","L1_M20","L14_B16","L14_B20","L14_M16","L14_M20","T23_B16","T23_B20","T23_M16","T23_M20","WT_B16","WT_B20","WT_M16","WT_M20"
"1","AT1G01010",206.388050796194,261.298417598916,170.532118029311,204.014551420915,202.949999389126,231.99631497608,178.311934059357,236.703007761062,277.134900080227,310.708352857492,204.33382904238,286.363564816013,178.358450220575,220.675475637068,175.876649534107,190.068787069059
"2","AT1G01020",335.165748373405,354.602949179554,347.565948973073,342.994320935907,329.882298643985,377.025544881583,359.129365193091,339.937245563615,318.965822765388,350.727046044955,360.084859526045,318.418076002868,329.025502776063,314.506425671226,385.370976576707,331.245803381762
"3","AT1G01030",61.9293606390654,30.4108131077749,40.4372236597328,27.7660212795095,37.5780040921215,29.9139392229565,40.3860866020414,21.9630096299458,27.5469930354779,16.3082899580464,22.9075022510346,20.2317260089256,27.9943049267943,16.4741298709478,28.5514154054134,16.7550149975572
"4","AT1G01040",1021.20662093406,882.990751377939,1231.17709913522,676.177077322895,986.356306711956,788.557845284537,1289.48429874407,879.788360098654,991.392023674004,970.255254735121,1095.76739149381,1167.29186907385,1029.04931472818,906.506201678244,1033.50114573926,1245.61002688223
"5","AT1G01040-AT1G01046",1106.98884191258,1068.30646899141,1153.61362352864,1439.54713644732,1260.7996154966,1090.11039151789,1226.02614007153,1278.48740154936,1409.57751119574,1271.52032026155,1509.42627327669,1434.25525632815,1213.45600609374,1223.94802414615,1107.09962962766,1245.84566907964
"6","AT1G01046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","AT1G01050",1458.93992140179,1178.88043983333,1529.82968600282,1365.00127115814,1422.08024923317,1219.06879054124,1501.44969170747,1389.27731048891,1357.59626095902,1213.00502736009,1624.06628322288,1396.27363858026,1448.31802878799,1410.13087831109,1476.50155891906,1515.60417720082
"8","AT1G01050-AT1G01060",5.69191591856965,23.2934313372278,10.2987638966963,3.11939227225809,15.7920357229954,0,5.66981841983081,2.64387257953471,0,13.2447003010275,1.29176172807161,42.0120101131376,20.2974177822538,10.4176731947874,6.00406739785203,0
"9","AT1G01060",1911.56162603523,49.4213334100061,1652.42171314896,60.0321756630038,1660.99110074172,60.9950728666639,1904.7411312652,68.1147197593985,1842.067391403,55.6005727575466,1848.88867001465,80.997421834864,1635.0268095191,64.5463024510432,1761.57682692467,100.550838499785
"10","AT1G01070",169.441960089207,117.247305941305,210.838758634807,124.665479676788,235.511122473759,154.907098543152,305.081082446998,147.265718094907,356.432451181457,236.745676994191,377.987009671091,283.011153599561,211.434873903272,194.028454833288,205.11851278159,181.948266544392
"11","AT1G01080",1142.72099972987,1123.82636925141,1381.31081390427,1331.36403379358,1145.23815133628,1062.84819461405,1144.32476778228,1382.81145710589,1041.77142532603,1017.58177811055,1108.14842022463,1260.68149217935,1042.56440975974,1120.44764284152,1399.67628954784,1151.00972571366
"12","AT1G01090",4498.21711400195,3976.90677376059,4680.93033639655,4435.56532237241,4947.84173410348,4143.25751303993,5128.92624980458,4574.9687964349,4145.23862209457,3605.51422170369,4808.02133182216,3767.22708202313,4516.11255085378,3663.37870789264,4634.8963576082,3880.99140698167
"13","AT1G01100",1484.90097583347,1689.21718532132,1653.90570020374,1777.35457586658,2054.76559690091,1614.95747852228,1759.01160832339,1729.343947823,1501.73557742911,1603.0495128486,1389.48025369185,1332.00664684887,1779.36850438321,1453.08689679989,1609.93231563272,1274.00373138846
"14","AT1G01110",14.0883357884594,13.6906322521381,6.24674828214979,4.09816717503198,4.99148113802238,9.78167385542041,4.18344404450694,9.04244188143543,9.80240398461388,13.9857951690792,12.1329873277238,9.83279761640256,18.9338584214892,13.5577826384372,9.24394023488329,5.64536291420227
"15","AT1G01120",1526.2126255778,565.772680230024,1635.07629127539,626.415809509285,1562.10151192137,807.159772810744,1825.459426232,738.802059835136,1412.63593266669,499.752893025423,1430.12521564102,564.760625407754,1419.012193515,515.269098186598,1687.57994738908,689.78671305557
"16","AT1G01130",16.8486176764051,18.1025067511646,24.9224569309687,17.0259664218887,26.8384344429207,10.8692367965791,15.1643443444202,16.7337958862147,20.0789726825936,12.2032299538345,18.5041523285252,17.1537635147139,20.2510450545079,15.475005358431,19.1995102261135,17.3410023757009
"17","AT1G01140",3267.3010518459,2370.32872610542,3898.18923007573,2208.68558638382,3317.64316681038,2324.13327734283,3681.67977262444,2591.36287743748,4064.85984453479,2837.94718282612,4098.82190269304,3302.5519992938,3247.83594306841,2678.59568536959,3995.66961474142,2787.803964094
"18","AT1G01150",0.802952953188703,1.92759919199152,0.659165050943196,0,0.659769087249903,1.11914252978522,0,0.850875483196052,0.620072972787907,0.355650031723557,0,0.583989150460912,0.362666755477483,0.542205063220357,1.23601566284489,0.238653834091962
"19","AT1G01160",750.525831282558,833.328993163047,885.305001523373,896.47665529143,841.893727564769,881.943352555786,905.581876495955,909.926867123601,806.185541734452,763.217617254824,854.791881616181,862.252807171874,778.532686690797,834.562575174269,871.277219164226,891.83680835207
"20","AT1G01170",669.75018859264,684.543429552008,749.203130930152,792.788779160134,665.390739573579,662.404882665563,744.469995511422,817.026413279474,606.54753810889,513.10944644218,664.211949209394,930.32862514436,655.772688346522,705.932418519652,798.616593082267,868.024635946314
"21","AT1G01180",123.534368725159,104.321995128505,127.862987146012,57.5945018772984,114.304468500906,65.3239051555897,81.0682254230435,77.8570138836075,153.852735158015,79.9855296172939,111.905972720831,87.9596884222471,156.738671901228,64.2784538426973,124.947423601565,43.8621143028023
"22","AT1G01183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","AT1G01190",1.20442942978305,0,0,0.914815979771297,0,2.8249774184919,0,2.51915179357333,0.93010945918186,0.659929975708103,0.391315200776803,1.35724719792471,0.730808752254923,1.40625236871054,2.62175765428811,1.1521046184574
"24","AT1G01200",11.234644174363,3.29489375359689,16.0087480900852,7.98819428236521,10.7253864316764,7.65711366354667,16.2046953739828,9.17457774581608,9.00328901565969,2.06526987609474,8.53474595558396,5.97914094315079,7.236881346525,2.13122521164946,18.7920498000607,6.15579613739206
"25","AT1G01210",287.408611862385,340.802817731505,316.586599261496,382.805497550366,331.91514508848,361.114919252035,340.459311622374,378.170405351624,320.143773527839,332.616632429842,332.634069798394,326.079481937374,340.092161255685,304.17498620792,358.897336469891,326.769163913574
"26","AT1G01220",1077.2829435595,1058.04503168202,1103.74781669019,1064.02054144157,983.499202892863,1012.50158416708,1078.80821764373,1048.80695552179,1006.68637942337,1063.42536280152,1049.10287702845,1115.4407742711,1045.13485339065,1073.66966894168,1083.61780944647,1137.57272106774
"27","AT1G01225",52.8900273973274,37.2260282970637,49.059152732578,49.8176061048817,55.9428614282539,46.2071858389284,64.8621619961946,60.6345155099173,54.8202384943162,38.363825108174,36.3077736065754,34.1563558902353,35.9448502004672,34.8568900855042,71.6975637858951,39.8352460513727
"28","AT1G01230",900.235426314568,962.26347422206,973.336255039787,972.384663196924,864.005115010761,968.544700812819,935.587000828113,940.813455436265,939.571768989354,936.296825149797,860.417052050973,879.035428108026,939.33087863987,990.183083814718,917.956391481198,975.042237394597
"29","AT1G01240",1548.06823782846,1551.91594517395,2059.88310891454,1624.23134240334,1735.33848637812,1881.2506404993,2044.449274525,1637.30382872323,2055.63966249914,1257.89841916842,2326.8491061202,2096.53431436209,1791.31650595203,1737.94498871389,1821.66700106964,2288.35789634409
"30","AT1G01250",825.771884846581,578.861016977188,954.723561184643,644.913848691539,917.331418995261,697.076944229361,972.250540025879,767.979351500023,659.85032408703,450.167513405507,819.975970176066,609.223353452439,803.605419123985,621.117439554303,986.262554192406,834.858105257141
"31","AT1G01260",919.528955936613,894.988407461617,643.231591683994,512.017367928643,744.787894818357,929.62666800263,649.920495249428,561.750790775528,796.008305753605,1014.93325330386,584.075151027388,583.918266902638,1226.01090687377,1267.46698616894,649.171822851239,519.153506576872
"32","AT1G01270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","AT1G01280",0,0.847033866808283,0,0,0,0,0,0.330484072441839,0,0.329964987854051,0,1.24122965633368,0,1.08745926440838,0,0
"34","AT1G01290",448.173889280408,377.401216564497,489.928684227686,355.614606286913,488.048083650164,354.430725580571,519.035247753786,361.48239991493,473.044134479507,328.439822712501,518.848577102237,333.736578759808,711.428279934145,545.880870118807,451.890240169489,339.144816745526
"35","AT1G01300",716.846393036872,802.186672462968,980.640445249312,1336.01507464778,840.877863601204,857.983485310647,672.675053660718,1552.04450105113,772.127883687419,921.941644100833,657.796092171283,1035.26508802271,664.302583077855,645.561461437627,948.704773278088,756.591489915991
"36","AT1G01305",0,0,0,0.60987731984753,0,0,0,0,0,0,0.391315200776803,0,0,0,0,0
"37","AT1G01310",0,0,0.313898030945037,0.64367080635418,0.659769087249903,0,0,0,0.310036486393953,0.329964987854051,0.322940432017902,0.312539710875969,0.362666755477483,0.36248642146946,0.711629756346882,0.32083569763381
"38","AT1G01320",12320.3426879948,12503.9404458521,14857.12866868,15142.892131947,12445.5332917026,13370.2357990352,14020.0566351312,14081.5206099128,13813.8995384576,14725.9616710144,14684.4553368418,16363.554110415,12781.4562635378,16536.4240569854,12826.6219904564,17823.0623955635
"39","AT1G01335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","AT1G01340",533.209036110892,786.604396186585,84.033434367694,81.4132246219337,354.60290089815,553.645926704274,78.3485287188512,113.211591487215,470.019236340878,971.694459425455,107.064351748474,166.702988419904,556.643942623539,647.093583788173,121.500925168134,98.267265677202
"41","AT1G01350",496.629026059157,491.043833340478,508.608980717478,503.918755304882,497.745155053589,512.893918402824,506.913722839215,513.18855081343,490.740327224979,560.985318413441,545.719560188268,524.084153176573,526.452066986475,496.745736560376,546.370029349431,493.955048982511
"42","AT1G01355",1.10529521522151,3.15350432809159,1.56930775836718,0.311939227225809,3.61906711185252,1.41953781155199,0.97965252202703,3.8144968058993,7.74728467278794,2.08663986333735,1.68307692884841,5.52567587884501,3.27768890254724,1.75546309407254,5.04692434185531,3.34967745779385
"43","AT1G01360",351.570045334375,266.40160647815,387.554208870842,312.497525178085,294.098202769532,293.93485772717,369.102812460398,312.633657624118,346.517860230079,210.836083207604,427.720892557494,314.536512235122,340.698616444634,294.442649112801,399.63143749333,346.171370660596
"44","AT1G01370",30.9087402692624,35.0498663127748,37.9195503754519,37.0455704373181,28.8765506875058,25.1464668729573,36.258762041216,32.6946438074017,30.0694668898502,32.2268200231377,20.5836343807905,38.7628273926972,28.4855291077665,25.9195801976544,25.4613117214199,17.6784008508376
"45","AT1G01380",20.7317438684154,9.44263094570743,27.0564579804038,19.6784531689918,23.8091245042269,15.6756205810121,18.4951302825666,18.106065598437,13.1235204938896,12.4645646274419,22.0381685322353,13.5287900948679,16.4943538326991,12.6116298836705,33.7945441331462,15.9479061298442
"46","AT1G01390",38.8329504554035,25.3255561968234,43.2579541697019,23.8027725177848,45.1817352073285,23.9758194219285,36.8862938008313,22.1345007106427,58.5089870472003,20.7346848368585,56.0289471904412,33.1904838851673,49.5084752634038,24.5134588556237,73.5602685866685,24.0734828462945
"47","AT1G01400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","AT1G01410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","AT1G01420",784.470655038964,680.058877288231,1034.02518691135,1059.81741798916,991.692405381318,893.739387956536,1157.6707220422,1029.21257538521,635.079978867093,454.193389241081,776.367405729585,664.583663090669,524.668792369433,469.463551940135,759.58745077169,581.594104997592
"50","AT1G01430",1289.89072800948,1004.35887279368,1657.16375540983,1408.06305209237,1481.11328256787,1050.20011810623,1591.78586146096,1414.87408742455,1211.25421390276,694.356002096382,1209.7206242507,930.39497577461,974.408033373881,812.791652840288,1303.8847193253,983.675234454836
"51","AT1G01440",991.337382291214,1042.28295851568,725.529173036567,685.928238857939,708.072521881957,955.458305114167,620.438198565736,646.592940107109,962.601952298475,1119.55273553198,833.878447084186,884.515161759953,1003.80229421873,1005.79461226719,805.940594598961,788.380148984709
"52","AT1G01448",248.751919545166,229.364666980806,287.897260794996,261.074148731406,232.399130025312,221.065786889137,245.647994539609,262.119427573936,236.447138722159,206.199554564638,284.438949201977,320.803488912093,247.606835872633,230.878548474863,286.641860435714,294.672585085656
"53","AT1G01450",0.76980013923842,1.38122621476118,6.40578198371142,2.54668095620854,2.63907634899961,5.36027458042667,7.62548122490831,3.13793856277046,3.37187438492214,6.08895969207119,4.84410648026853,0.930922242250263,2.5496177709423,0.36248642146946,1.26401418902148,4.52560458631497
"54","AT1G01453",1.75970896021254,5.86385866033335,0.941511696477109,3.88181719002764,1.31953817449981,3.99929079242424,0.692809291004934,3.99340296501546,1.38699883309943,12.2251797111464,2.46570733040201,14.3951863340928,0.294917301310497,4.00557170535322,0.31600354725537,1.21772370449632
"55","AT1G01460",0.318918669007945,0.847033866808283,0,0.331731579128371,0,0,0,0,0,0,0,0.310307414083421,0.955238978748453,1.08745926440838,0,0
"56","AT1G01470",8251.0531155297,20050.7977053433,7790.61007348455,25975.9474714344,7747.26775367948,27067.989701265,9279.04919029533,26616.0726968342,6963.35876908863,14742.9874501005,8202.17910466635,19339.1381210261,7403.3028636314,18859.4149305323,7046.95477707851,25550.9674184028
"57","AT1G01480",1548.98107042708,2066.72762965401,100.336145609623,39.2093526759962,1043.46926659085,2004.51327637852,118.511556379263,49.6191675547551,1145.87826070629,1988.09456774946,139.659528151509,81.5323072250637,2005.54347716668,2220.19564480372,76.5142369218668,127.074331282315
"58","AT1G01490",2928.97093174521,2187.71602925563,3067.58401086161,1468.81907932574,2920.77919805074,2048.04217542075,2660.22492855408,1738.40132472285,3085.68432489382,2114.22952438168,2738.09379276243,1882.73093018645,2917.42785210095,1941.25923215358,2476.52792291612,1512.16709132697
"59","AT1G01500",1120.98579658684,1453.35310283713,1189.42701726434,1546.19062092101,1217.30383289114,1470.33799459198,1201.07007660029,1597.13875133689,1065.85617695368,1480.3718822813,1141.1349543513,1460.45856581409,1103.26418031613,1544.43627399182,1039.07536648848,1604.93501710175
"60","AT1G01510",852.956805031432,706.045002929772,994.53234180171,945.889693375516,946.354239883397,762.530707597932,983.206390606874,920.642090128799,843.299984410524,786.776907968973,945.705463677205,840.600706759737,869.63550799983,735.27098647099,931.628798279679,853.216922236018
